Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-002	150-152	11	βασίλεια	head	8	12
0085-002	150-152	12	δ’	relation	AuxY	APOS
0085-002	150-152	13	ἐμή	relation	ATR	UNDEFINED	y
0085-002	150-152	13	ἐμή	head	11	0	y
0085-002	153-154	1	καὶ	postag	d--------	c--------
0085-002	153-154	1	καὶ	relation	AuxY	COORD
0085-002	153-154	1	καὶ	head	10	0
0085-002	153-154	4	χρεὼν	postag	n-s---nn-	x--------	y
0085-002	153-154	10	[0]	relation	PRED	PRED_CO
0085-002	147-149	1	πότερον	lemma	πότερον	πότερος	y
0085-002	147-149	1	πότερον	postag	d--------	a-s---na-	y
0085-002	147-149	6	,	relation	AuxX	AuxY	y
0085-002	157-158	8	καὶ	postag	d--------	c--------
0085-002	157-158	14	μὴ	postag	d--------	c--------
0085-002	155-156	3	ἄνασσα	relation	ExD	ExD_AP
0085-002	155-156	3	ἄνασσα	head	12	13
0085-002	155-156	6	,	head	3	13
0085-002	155-156	7	μῆτερ	relation	APOS	ExD_AP
0085-002	155-156	7	μῆτερ	head	3	13
0085-002	155-156	11	,	head	3	13
0085-002	155-156	13	,	relation	AuxX	APOS
0085-002	155-156	13	,	head	0	12
0085-002	155-156	15	γύναι	relation	APOS	ExD_AP
0085-002	155-156	15	γύναι	head	3	13
0085-002	168	8	δ’	relation	COORD	PRED_CO
0085-002	161-164	2	δ’	head	4	0
0085-002	161-164	3	ὑμᾶς	postag	p2p---ca-	p-p---ma-
0085-002	161-164	4	ἐρῶ	lemma	λέγω	ἐρῶ
0085-002	161-164	4	ἐρῶ	relation	PRED	PRED_CO
0085-002	161-164	4	ἐρῶ	head	0	2
0085-002	161-164	6	οὐδαμῶς	relation	ADV	AuxZ
0085-002	161-164	8	οὖσ’	postag	v-sppafn-	v-pppafn-	y
0085-002	161-164	28	τινος	postag	p-s---cg-	p-s---mg-
0085-002	173-174	2	τόδ’	postag	p-s---na-	p-s---nn-	y
0085-002	173-174	2	τόδ’	relation	OBJ	OBJ_AP
0085-002	173-174	2	τόδ’	head	3	8
0085-002	173-174	4	,	relation	AuxX	AuxZ	y
0085-002	173-174	8	,	relation	AuxX	APOS
0085-002	173-174	8	,	head	0	3
0085-002	173-174	10	σε	postag	p2s---ca-	p-s---fa-
0085-002	173-174	12	φράσαι	relation	APOS	OBJ_AP
0085-002	173-174	12	φράσαι	head	2	8
0085-002	173-174	18	ἂν	relation	AuxY	AuxZ	y
0085-002	175	4	ἡμᾶς	postag	p1p---ca-	p-p---ma-
0085-002	161	1	κἀμὲ	postag	p1s---ca-	p-s---fa-
0085-002	172	6	ὑμῖν	postag	p2p---cd-	p-p---md-
0085-002	172	8	μοι	postag	p1s---cd-	p-s---fd-
0085-002	170-171	3	ὡς	postag	c--------	d--------
0085-002	170-171	4	οὕτως	relation	ADV	OBJ	y
0085-002	170-171	11	μοι	postag	p1s---cd-	p-s---fd-
0085-002	170-171	14	Πέρσαι	relation	ExD	ExD_AP
0085-002	170-171	14	Πέρσαι	head	12	15
0085-002	170-171	15	,	relation	AuxX	APOS
0085-002	170-171	15	,	head	0	12
0085-002	170-171	17	πιστώματα	relation	APOS	ExD_AP
0085-002	170-171	17	πιστώματα	head	14	15
0085-002	165-167	2	μοι	postag	p1s---cd-	p-s---fd-
0085-002	165-167	4	μέριμνα	relation	SBJ	SBJ_AP
0085-002	165-167	4	μέριμνα	head	6	9
0085-002	165-167	9	,	relation	AuxX	APOS
0085-002	165-167	9	,	head	0	6
0085-002	165-167	16	σέβειν	relation	APOS_CO	SBJ_AP_CO
0085-002	165-167	17	μήτ’	lemma	μήτε	μήτις	y
0085-002	165-167	17	μήτ’	postag	b--------	a-s----a-
0085-002	165-167	17	μήτ’	head	4	9
0085-002	165-167	19	λάμπειν	relation	APOS_CO	SBJ_AP_CO
0085-002	165-167	21	ὅσον	head	23	25
0085-002	165-167	22	σθένος	head	23	25
0085-002	165-167	23	πάρα	lemma	πάρειμι	παρά
0085-002	165-167	23	πάρα	postag	v3spia---	r--------
0085-002	165-167	23	πάρα	relation	ADV	OBJ
0085-002	165-167	23	πάρα	head	19	25
0085-002	159-160	2	δὴ	relation	AuxY	AuxZ
